work_0,idel_0,heavy_0,work_1,idel_1,heavy_1,work_2,idel_2,heavy_2,work_3,idel_3,heavy_3,chunktime,total_idel,total_heavy
0.0487602,2.059713e-05,1200,0.0079853,0.040795498,0,0.0079249,0.0408559,0,0.0079596,0.0408212,0,0.0487808,0.12249319,1200
0.048543,3.889948e-05,1200,0.0079012,0.0406807,0,0.007913,0.040668897,0,0.0079257,0.040656198,0,0.0485819,0.1220447,1200
0.048953,4.3399632e-05,1200,0.0078983,0.0410981,0,0.0079095,0.0410869,0,0.0079067,0.0410897,0,0.0489964,0.1233181,1200
0.0488341,3.920123e-05,1200,0.0080571,0.040816203,0,0.0079274,0.040945902,0,0.0079816,0.0408917,0,0.0488733,0.12269301,1200
0.0488724,4.1499734e-05,1200,0.0079125,0.0410014,0,0.0079096,0.0410043,0,0.0080694,0.0408445,0,0.0489139,0.1228917,1200
0.0485745,4.0899962e-05,1200,0.007895,0.0407204,0,0.0079287,0.0406867,0,0.0080335,0.0405819,0,0.0486154,0.1220299,1200
0.0489258,9.180233e-05,1200,0.0079067,0.041110903,0,0.007942,0.041075602,0,0.0079793,0.0410383,0,0.0490176,0.123316616,1200
0.0487417,9.190291e-05,1200,0.0079378,0.0408958,0,0.0079059,0.0409277,0,0.0079753,0.040858302,0,0.0488336,0.12277371,1200
0.0487262,5.529821e-05,1200,0.0079127,0.0408688,0,0.0079395,0.040842,0,0.0079008,0.0408807,0,0.0487815,0.12264679,1200
0.0488114,0.00010700151,1200,0.0078997,0.041018702,0,0.0079113,0.0410071,0,0.0080289,0.0408895,0,0.0489184,0.1230223,1200
0.0485995,8.200109e-05,1200,0.0079165,0.040765002,0,0.0078953,0.0407862,0,0.0078809,0.0408006,0,0.0486815,0.122433804,1200
0.0488598,6.619841e-05,1200,0.0078942,0.0410318,0,0.0079023,0.0410237,0,0.0079231,0.0410029,0,0.048926,0.1231246,1200
0.0486591,5.029887e-05,1200,0.0079051,0.0408043,0,0.0079097,0.0407997,0,0.0079507,0.0407587,0,0.0487094,0.122412995,1200
0.0489525,4.77992e-05,1200,0.0079079,0.0410924,0,0.0079227,0.0410776,0,0.0079581,0.0410422,0,0.0490003,0.12326,1200
0.0491364,4.9497932e-05,1200,0.0079423,0.041243598,0,0.007935,0.0412509,0,0.0079557,0.041230198,0,0.0491859,0.1237742,1200
0.0487409,4.8499554e-05,1200,0.0078916,0.0408978,0,0.0079553,0.0408341,0,0.0079645,0.0408249,0,0.0487894,0.12260531,1200
0.0488551,7.100031e-05,1200,0.0079325,0.0409936,0,0.0079144,0.0410117,0,0.0079733,0.0409528,0,0.0489261,0.1230291,1200
0.0489442,3.889948e-05,1200,0.0079035,0.0410796,0,0.00791,0.0410731,0,0.0079123,0.0410708,0,0.0489831,0.123262405,1200
0.0488635,3.9298087e-05,1200,0.0079311,0.040971696,0,0.007917,0.0409858,0,0.0079705,0.040932298,0,0.0489028,0.122929096,1200
0.0488187,3.970042e-05,1200,0.0079366,0.0409218,0,0.0079508,0.0409076,0,0.0080295,0.0408289,0,0.0488584,0.122697994,1200
0.0489515,7.050112e-05,1200,0.0079258,0.0410962,0,0.0079639,0.0410581,0,0.0080483,0.0409737,0,0.049022,0.1231985,1200
0.0512916,0.00062289834,1200,0.0079263,0.043988198,0,0.0079369,0.0439776,0,0.0080816,0.0438329,0,0.0519145,0.1324216,1200
0.0489334,0.003937397,1200,0.0079492,0.0449216,0,0.0080219,0.044848897,0,0.0080219,0.044848897,0,0.0528708,0.13855678,1200
0.0488886,8.689985e-05,1200,0.0079294,0.0410461,0,0.0079083,0.0410672,0,0.0079568,0.041018702,0,0.0489755,0.1232189,1200
0.0489051,6.920099e-05,1200,0.0080356,0.0409387,0,0.0079821,0.0409922,0,0.0080666,0.040907703,0,0.0489743,0.12290781,1200
0.048963,4.8600137e-05,1200,0.0079104,0.0411012,0,0.0079397,0.0410719,0,0.0080441,0.040967498,0,0.0490116,0.123189196,1200
0.0489786,7.509813e-05,1200,0.0078819,0.041171797,0,0.0078841,0.0411696,0,0.0080182,0.0410355,0,0.0490537,0.12345199,1200
0.0488498,5.2999705e-05,1200,0.0079129,0.0409899,0,0.007973,0.040929798,0,0.0081109,0.0407919,0,0.0489028,0.122764595,1200
0.0490423,3.8001686e-05,1200,0.0079217,0.0411586,0,0.0079168,0.0411635,0,0.0079524,0.0411279,0,0.0490803,0.12348801,1200
0.048744,6.920099e-05,1200,0.0079081,0.040905103,0,0.0079206,0.0408926,0,0.0079321,0.0408811,0,0.0488132,0.122748,1200
0.0489102,4.77992e-05,1200,0.0079177,0.0410403,0,0.0079171,0.0410409,0,0.007911,0.041047,0,0.048958,0.123176,1200
0.0489746,3.870204e-05,1200,0.0079137,0.0410996,0,0.0079075,0.041105803,0,0.0079187,0.0410946,0,0.0490133,0.12333871,1200
0.0486258,3.799796e-05,1200,0.0079033,0.0407605,0,0.0079084,0.0407554,0,0.0079442,0.0407196,0,0.0486638,0.12227349,1200
0.0488963,3.9696693e-05,1200,0.0078967,0.0410393,0,0.0079028,0.041033197,0,0.0079017,0.041034296,0,0.048936,0.12314649,1200
